Feature,Model,Accuracy,Precision,Recall,F1-score
TF-IDF with N-grams,Logistic Regression,0.9737313432835821,0.9634464751958225,0.9787798408488063,0.9710526315789474
Bag of Words,Logistic Regression,0.968955223880597,0.9546632124352331,0.9774535809018567,0.9659239842726082
Bag of Words,Naive Bayes,0.9665671641791045,0.9568062827225131,0.9694960212201591,0.9631093544137023
TF-IDF with N-grams,Naive Bayes,0.9629850746268657,0.9540682414698163,0.9641909814323607,0.9591029023746702
